Riding,Winner
University--Rosedale,Lib
Vaughan--Woodbridge,Con
Waterloo,Con
Wellington--Halton Hills,Con
Whitby,Con
Willowdale,Con
Windsor West,NDP
Windsor--Tecumseh,Con
York Centre,Con
York South--Weston,Lib
York--Simcoe,Con
Cardigan,Con
Charlottetown,Con
Egmont,Con
Malpeque,Con
Abitibi--Baie-James--Nunavik--Eeyou,BQ
Abitibi--Témiscamingue,BQ
Ahuntsic-Cartierville,Lib
Alfred-Pellan,Lib
Argenteuil--La Petite-Nation,BQ
Avignon--La Mitis--Matane--Matapédia,BQ
Beauce,Con
Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,BQ
Beauport--Limoilou,Con
Bécancour--Nicolet--Saurel,BQ
Bellechasse--Les Etchemins--Lévis,Con
Beloeil--Chambly,BQ
Berthier--Maskinongé,BQ
Bourassa,Lib
Brome--Missisquoi,BQ
Brossard--Saint-Lambert,Lib
Charlesbourg--Haute-Saint-Charles,Con
Châteauguay--Lacolle,BQ
Chicoutimi--Le Fjord,Con
Compton--Stanstead,BQ
Dorval--Lachine--LaSalle,Lib
Drummond,BQ
Gaspésie--Les Îles-de-la-Madeleine,BQ
Gatineau,Lib
Hochelaga,BQ
Honoré-Mercier,Lib
Hull--Aylmer,Lib
Joliette,BQ
Jonquière,BQ
La Pointe-de-l'Île,BQ
La Prairie,BQ
Lac-Saint-Jean,BQ
Lac-Saint-Louis,Lib
LaSalle--Émard--Verdun,Lib
Laurentides--Labelle,BQ
Laurier--Sainte-Marie,NDP
Laval--Les Îles,Lib
Lévis--Lotbinière,Con
Longueuil--Charles-LeMoyne,BQ
Longueuil--Saint-Hubert,BQ
Louis-Hébert,Con
Louis-Saint-Laurent,Con
Manicouagan,BQ
Marc-Aurèle-Fortin,BQ
Mégantic--L'Érable,Con
Mirabel,BQ
Montarville,BQ
Montcalm,BQ
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Con
Mount Royal,Lib
Notre-Dame-de-Grâce--Westmount,Lib
Outremont,Lib
Papineau,Lib
Pierre-Boucher--Les Patriotes--Verchères,BQ
Pierrefonds--Dollard,Lib
Pontiac,Lib
Portneuf--Jacques-Cartier,Con
Québec,BQ
Repentigny,BQ
Richmond--Arthabaska,Con
Rimouski-Neigette--Témiscouata--Les Basques,BQ
Rivière-des-Mille-Îles,BQ
Rivière-du-Nord,BQ
Rosemont--La Petite-Patrie,NDP
Saint-Hyacinthe--Bagot,BQ
Saint-Jean,BQ
Saint-Laurent,Lib
Saint-Léonard--Saint-Michel,Lib
Saint-Maurice--Champlain,BQ
Salaberry--Suroît,BQ
Shefford,BQ
Sherbrooke,BQ
Terrebonne,BQ
Thérèse-De Blainville,BQ
Trois-Rivières,Con
Vaudreuil--Soulanges,Lib
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Lib
Vimy,Lib
Battlefords--Lloydminster,Con
Carlton Trail--Eagle Creek,Con
Cypress Hills--Grasslands,Con
Desnethé--Missinippi--Churchill River,Con
Moose Jaw--Lake Centre--Lanigan,Con
Prince Albert,Con
Regina--Lewvan,Con
Regina--Qu'Appelle,Con
Regina--Wascana,Con
Saskatoon West,Con
Saskatoon--Grasswood,Con
Saskatoon--University,Con
Souris--Moose Mountain,Con
Yorkton--Melville,Con
Northwest Territories,NDP
Nunavut,NDP
Yukon,Con
