Polling firm,Date,T-Days,LAB,NAT,GRN,ACT,TPM,NZF,Sample size
Newshub–Reid Research,27 Apr 2022,-535,38.2,40.5,8.4,6.4,2.5,1.7,1000
Roy Morgan,24 Apr 2022,-538,33.5,37.5,10.5,10.0,1.5,2.5,918
Taxpayers' Union–Curia,13 Apr 2022,-549,36.8,37.8,9.4,8.4,3.6,1.7,1000
Roy Morgan,27 Mar 2022,-566,32.0,38.0,10.5,9.0,2.0,4.0,944
Taxpayers' Union–Curia,15 Mar 2022,-578,36.2,35.3,12.4,11.2,0.2,1.8,1000
1 News–Kantar Public,8 Mar 2022,-585,37.0,39.0,9.0,8.0,2.3,2.2,1000
Roy Morgan,27 Feb 2022,-594,32.0,38.0,11.0,11.5,2.0,2.0,963
Taxpayers' Union–Curia,10 Feb 2022,-611,42.3,38.4,6.3,6.6,1.0,1.5,1000
Newshub–Reid Research,4 Feb 2022,-617,44.3,31.3,9.6,8.0,2.0,1.8,1000
Roy Morgan,30 Jan 2022,-622,33.0,35.0,10.5,13.5,2.5,2.5,951
1 News–Kantar Public,26 Jan 2022,-626,40.0,32.0,9.0,11.0,1.6,1.8,1000
Taxpayers' Union–Curia,17 Jan 2022,-635,41.2,33.0,10.7,11.5,0.5,0.9,1000
Roy Morgan,19 Dec 2021,-664,35.5,31.5,8.5,18.5,1.0,2.0,967
Taxpayers' Union–Curia,8 Dec 2021,-675,39.5,32.6,10.9,10.6,3.0,2.3,1000
Roy Morgan,21 Nov 2021,-692,36.0,26.5,10.5,17.5,3.0,2.5,951
Newshub–Reid Research,17 Nov 2021,-696,42.7,26.9,7.2,16.0,2.1,2.5,1000
1 News–Kantar Public,10 Nov 2021,-703,41.0,28.0,9.0,14.0,0.9,3.3,1001
Taxpayers' Union–Curia,8 Nov 2021,-705,39.3,26.2,8.6,15.9,2.3,1.7,1000
Labour–Talbot Mills,3 Nov 2021,-710,41.0,24.0,9.0,17.0,2.4,4.2,1023
Roy Morgan,24 Oct 2021,-720,39.5,26.0,10.5,16.0,2.0,2.5,929
Taxpayers' Union–Curia,11 Oct 2021,-733,44.8,22.5,6.4,16.6,1.5,3.6,1000
Labour–Talbot Mills,5 Oct 2021,-739,46.0,22.0,7.0,16.0,1.9,3.8,1200
Roy Morgan,26 Sep 2021,-748,45.5,23.0,9.5,16.0,2.0,1.5,940
1 News–Kantar Public,26 Sep 2021,-748,43.0,26.0,8.0,14.0,2.1,2.5,1001
Taxpayers' Union–Curia,9 Sep 2021,-765,45.8,21.3,9.6,14.9,1.2,2.7,1000
Labour–Talbot Mills,6 Sep 2021,-768,45.0,26.0,6.0,13.0,2.0,4.1,1050
Roy Morgan,22 Aug 2021,-783,39.5,25.0,12.0,13.0,2.5,2.5,940
Labour–Talbot Mills,1 Aug 2021,-804,43.0,28.0,7.0,13.0,1.7,4.4,1216
Newshub–Reid Research,29 Jul 2021,-807,43.0,28.7,8.5,11.1,1.9,3.4,1000
Roy Morgan,25 Jul 2021,-811,39.5,29.0,10.0,13.0,2.5,2.0,945
Labour–Talbot Mills,1 Jul 2021,-835,48.0,24.0,8.0,11.0,1.5,5.0,1199
Roy Morgan,27 Jun 2021,-839,38.5,29.5,12.5,11.5,2.5,1.5,927
1 News–Kantar Public,26 May 2021,-871,46.0,29.0,8.0,9.0,1.8,1.2,1002
Roy Morgan,23 May 2021,-874,45.0,28.5,11.0,9.0,1.5,2.0,932
Newshub–Reid Research,13 May 2021,-884,52.7,27.0,7.1,6.9,1.2,1.9,1000
Roy Morgan,25 Apr 2021,-902,41.5,29.5,13.5,9.0,2.5,1.0,933
Roy Morgan,28 Mar 2021,-930,45.5,23.0,12.0,11.0,1.0,2.5,924
1 News–Kantar Public,13 Mar 2021,-945,49.0,27.0,9.0,8.0,1.5,1.8,1006
Roy Morgan,21 Feb 2021,-965,45.0,29.0,13.5,7.5,1.0,1.5,924
Roy Morgan,24 Jan 2021,-993,47.0,25.0,11.5,9.0,2.0,2.0,937
Roy Morgan,13 Dec 2020,-1035,44.0,28.0,10.5,10.0,2.0,2.0,923
1 News–Kantar Public,2 Dec 2020,-1046,53.0,25.0,8.0,8.0,1.5,1.6,1004
Roy Morgan,22 Nov 2020,-1056,44.0,25.5,12.5,10.5,1.5,1.0,939
