Polling firm,Date,T-Days,PC,LPC,NDP,Sample size
Angus Reid,1988-11-17,-4,41,33,23,1512
Gallup,1988-11-12,-9,35,35,26,1026
Canadian Facts,1988-11-08,-13,38,38,21,2200
Angus Reid,1988-11-08,-13,39,35,24,1501
Environics,1988-11-08,-13,35,37,24,1275
Gallup,1988-11-05,-16,31,43,22,1041
Insight Canada Research,1988-11-03,-18,37,40,20,1101
Environics,1988-10-30,-22,31,37,26,727
Insight Canada Research,1988-11-03,-18,35,39,23,1100
Gallup,1988-10-29,-23,38,32,27,1034
Angus Reid,1988-10-27,-25,35,35,28,1502
Environics,1988-10-26,-26,32,32,28,811
Gallup,1988-10-15,-37,39,29,28,1027
Environics,1988-10-10,-42,42,25,29,1515
Angus Reid,1988-10-03,-49,45,26,27,1512
Gallup,1988-10-03,-49,43,33,22,1061
